,contractSymbol,strike,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expirationDate,CALL,mark
0,A210521C00070000,70.0,60.5,63.2,1.0,0,2.933596416015625,True,2021-05-21,True,61.85
1,A210521C00075000,75.0,49.6,54.5,1.0,1,1.0000000000000003e-05,True,2021-05-21,True,52.05
2,A210521C00080000,80.0,45.0,49.5,2.0,3,1.0000000000000003e-05,True,2021-05-21,True,47.25
3,A210521C00087500,87.5,34.2,37.5,1.0,1,1.0000000000000003e-05,True,2021-05-21,True,35.85
4,A210521C00090000,90.0,35.5,39.8,1.0,9,1.0000000000000003e-05,True,2021-05-21,True,37.65
5,A210521C00092500,92.5,39.8,43.1,6.0,12,2.609866756591797,True,2021-05-21,True,41.45
6,A210521C00095000,95.0,0.0,0.0,2.0,20,1.0000000000000003e-05,True,2021-05-21,True,0.0
7,A210521C00097500,97.5,23.5,27.9,10.0,2,1.0000000000000003e-05,True,2021-05-21,True,25.7
8,A210521C00100000,100.0,29.5,33.2,1.0,10,1.1328168359375002,True,2021-05-21,True,31.35
9,A210521C00105000,105.0,25.7,27.5,1.0,11,1.125004375,True,2021-05-21,True,26.6
10,A210521C00110000,110.0,19.3,22.2,2.0,42,1.1640666796875,True,2021-05-21,True,20.75
11,A210521C00115000,115.0,15.2,17.0,1.0,148,0.88476677734375,True,2021-05-21,True,16.1
12,A210521C00120000,120.0,10.9,12.0,3.0,1011,0.6723665576171877,True,2021-05-21,True,11.45
13,A210521C00125000,125.0,6.2,6.8,40.0,135,0.40772076660156253,True,2021-05-21,True,6.5
14,A210521C00130000,130.0,2.1,2.3,30.0,251,0.24878680908203127,True,2021-05-21,True,2.2
15,A210521C00135000,135.0,0.25,0.35,2.0,1311,0.23242955078125,False,2021-05-21,True,0.3
16,A210521C00140000,140.0,0.0,0.15,1.0,520,0.32910827148437494,False,2021-05-21,True,0.075
17,A210521C00145000,145.0,0.0,0.15,8.0,314,0.46094289062500005,False,2021-05-21,True,0.075
18,A210521C00150000,150.0,0.0,0.1,1.0,539,0.5429733203125001,False,2021-05-21,True,0.05
19,A210521C00155000,155.0,0.0,0.15,2.0,7,0.62305064453125,False,2021-05-21,True,0.075
20,A210521C00160000,160.0,0.0,0.4,2.0,14,0.84179845703125,False,2021-05-21,True,0.2
21,A210521C00165000,165.0,0.0,0.4,1.0,44,0.945313046875,False,2021-05-21,True,0.2
22,A210521C00170000,170.0,0.0,1.5,1.0,3,1.347171232910156,False,2021-05-21,True,0.75
23,A210521C00185000,185.0,0.0,0.5,,1,1.36328443359375,False,2021-05-21,True,0.25
24,A210521C00190000,190.0,0.0,0.55,,1,1.470705771484375,False,2021-05-21,True,0.275
25,A210521P00050000,50.0,0.0,0.45,4.0,3,3.5585948535156247,False,2021-05-21,False,0.225
26,A210521P00055000,55.0,0.0,0.65,2.0,1,3.4179702050781247,False,2021-05-21,False,0.325
27,A210521P00060000,60.0,0.0,0.5,1.0,1,2.9804712988281246,False,2021-05-21,False,0.25
28,A210521P00065000,65.0,0.0,0.9,1.0,4,2.978518178710937,False,2021-05-21,False,0.45
29,A210521P00070000,70.0,0.15,0.8,1.0,2,2.7246125634765628,False,2021-05-21,False,0.47500000000000003
30,A210521P00075000,75.0,0.0,0.4,1.0,15,2.128910927734375,False,2021-05-21,False,0.2
31,A210521P00080000,80.0,0.0,1.5,3.0,60,2.4238320654296874,False,2021-05-21,False,0.75
32,A210521P00085000,85.0,0.0,0.2,1.0,341,1.53515857421875,False,2021-05-21,False,0.1
33,A210521P00087500,87.5,0.0,1.7,1.0,26,2.1093797265624996,False,2021-05-21,False,0.85
34,A210521P00090000,90.0,0.0,0.65,1.0,60,1.6328143359374998,False,2021-05-21,False,0.325
35,A210521P00092500,92.5,0.0,0.2,1.0,48,1.2656286718749998,False,2021-05-21,False,0.1
36,A210521P00095000,95.0,0.0,0.15,1.0,51,1.1328168359375002,False,2021-05-21,False,0.075
37,A210521P00097500,97.5,0.0,0.65,1.0,65,1.3339877050781246,False,2021-05-21,False,0.325
38,A210521P00100000,100.0,0.0,0.2,1.0,125,1.013676806640625,False,2021-05-21,False,0.1
39,A210521P00105000,105.0,0.0,0.4,3.0,132,0.9580082324218748,False,2021-05-21,False,0.2
40,A210521P00110000,110.0,0.0,0.4,3.0,142,0.78711150390625,False,2021-05-21,False,0.2
41,A210521P00115000,115.0,0.0,0.45,4.0,142,0.6347692773437501,False,2021-05-21,False,0.225
42,A210521P00120000,120.0,0.0,0.25,2.0,252,0.476567734375,False,2021-05-21,False,0.125
43,A210521P00125000,125.0,0.1,0.25,1.0,834,0.299811689453125,False,2021-05-21,False,0.175
44,A210521P00130000,130.0,0.85,1.05,14.0,520,0.233406103515625,False,2021-05-21,False,0.95
45,A210521P00135000,135.0,3.9,4.5,1.0,283,0.2963937548828125,True,2021-05-21,False,4.2
46,A210521P00140000,140.0,8.2,9.6,2.0,93,0.5124560473632812,True,2021-05-21,False,8.899999999999999
47,A210521P00150000,150.0,29.3,31.5,,4,2.7363312841796876,True,2021-05-21,False,30.4
48,A210618C00070000,70.0,60.3,62.4,,2,0.992187578125,True,2021-06-18,True,61.349999999999994
49,A210618C00100000,100.0,29.5,33.4,1.0,1,0.5117236328125,True,2021-06-18,True,31.45
