,contractSymbol,strike,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expirationDate,CALL,mark
0,AAL210521C00003000,3.0,19.35,19.5,1.0,73.0,6.87500140625,1.0,2021-05-21,True,19.425
1,AAL210521C00005000,5.0,17.35,17.65,20.0,107.0,6.312502109375,1.0,2021-05-21,True,17.5
2,AAL210521C00006000,6.0,15.7,16.1,6.0,53.0,1.0000000000000003e-05,1.0,2021-05-21,True,15.9
3,AAL210521C00007000,7.0,15.35,15.5,3.0,82.0,3.9843750390625,1.0,2021-05-21,True,15.425
4,AAL210521C00008000,8.0,14.35,14.5,1.0,340.0,3.56250109375,1.0,2021-05-21,True,14.425
5,AAL210521C00009000,9.0,13.35,13.5,1.0,807.0,3.1875020312499998,1.0,2021-05-21,True,13.425
6,AAL210521C00010000,10.0,12.35,12.5,16.0,3038.0,2.843752890625,1.0,2021-05-21,True,12.425
7,AAL210521C00011000,11.0,11.25,11.5,1.0,381.0,3.156252109375,1.0,2021-05-21,True,11.375
8,AAL210521C00012000,12.0,10.35,10.5,6.0,5625.0,2.2500043749999996,1.0,2021-05-21,True,10.425
9,AAL210521C00013000,13.0,9.0,9.5,18.0,4348.0,2.50000375,1.0,2021-05-21,True,9.25
10,AAL210521C00014000,14.0,8.2,8.5,4.0,2725.0,2.2031294921874993,1.0,2021-05-21,True,8.35
11,AAL210521C00015000,15.0,7.35,7.5,109.0,22526.0,1.5156274218749999,1.0,2021-05-21,True,7.425
12,AAL210521C00016000,16.0,6.35,6.45,82.0,4743.0,0.500005,1.0,2021-05-21,True,6.4
13,AAL210521C00016500,16.5,5.85,5.95,2.0,3.0,0.500005,1.0,2021-05-21,True,5.9
14,AAL210521C00017000,17.0,5.35,5.5,186.0,8669.0,1.09375453125,1.0,2021-05-21,True,5.425
15,AAL210521C00017500,17.5,4.85,5.0,3.0,15.0,0.992187578125,1.0,2021-05-21,True,4.925
16,AAL210521C00018000,18.0,4.35,4.45,86.0,7737.0,0.500005,1.0,2021-05-21,True,4.4
17,AAL210521C00018500,18.5,3.9,4.0,11.0,91.0,0.9062509375,1.0,2021-05-21,True,3.95
18,AAL210521C00019000,19.0,3.4,3.5,31.0,1897.0,0.804689453125,1.0,2021-05-21,True,3.45
