,contractSymbol,strike,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expirationDate,CALL,mark
0,AAP210521C00160000,160.0,40.9,44.7,10.0,0,0.9501958105468749,True,2021-05-21,True,42.8
1,AAP210521C00170000,170.0,31.4,34.5,1.0,0,0.813478427734375,True,2021-05-21,True,32.95
2,AAP210521C00175000,175.0,24.6,27.3,3.0,7,1.0000000000000003e-05,True,2021-05-21,True,25.950000000000003
3,AAP210521C00180000,180.0,22.2,23.8,10.0,39,0.6079140771484376,True,2021-05-21,True,23.0
4,AAP210521C00185000,185.0,16.4,19.1,1.0,267,0.7172879833984375,True,2021-05-21,True,17.75
5,AAP210521C00190000,190.0,11.6,14.9,1.0,1622,0.6826203613281252,True,2021-05-21,True,13.25
6,AAP210521C00195000,195.0,7.9,9.0,1.0,252,0.40869731933593745,True,2021-05-21,True,8.45
7,AAP210521C00200000,200.0,4.4,5.3,4.0,1141,0.37622694091796877,True,2021-05-21,True,4.85
8,AAP210521C00210000,210.0,0.7,1.2,42.0,501,0.3618227880859375,False,2021-05-21,True,0.95
9,AAP210521C00220000,220.0,0.05,0.25,80.0,371,0.401373173828125,False,2021-05-21,True,0.15
10,AAP210521C00230000,230.0,0.0,0.1,3.0,6,0.48340360351562506,False,2021-05-21,True,0.05
11,AAP210521C00240000,240.0,0.0,2.15,1.0,9,0.96679720703125,False,2021-05-21,True,1.075
12,AAP210521P00095000,95.0,0.0,0.3,1.0,24,2.535159912109375,False,2021-05-21,False,0.15
13,AAP210521P00100000,100.0,0.0,2.15,5.0,5,3.2460956347656245,False,2021-05-21,False,1.075
14,AAP210521P00105000,105.0,0.0,0.7,30.0,0,2.50781623046875,False,2021-05-21,False,0.35
15,AAP210521P00115000,115.0,0.0,4.2,30.0,0,3.108400666503906,False,2021-05-21,False,2.1
16,AAP210521P00140000,140.0,0.0,0.2,,1,1.25390998046875,False,2021-05-21,False,0.1
17,AAP210521P00145000,145.0,0.0,4.2,2.0,2,2.0336963220214845,False,2021-05-21,False,2.1
18,AAP210521P00150000,150.0,0.0,0.2,2.0,29,1.0429735351562504,False,2021-05-21,False,0.1
19,AAP210521P00155000,155.0,0.0,2.15,3.0,11,1.44140904296875,False,2021-05-21,False,1.075
20,AAP210521P00160000,160.0,0.0,0.5,2.0,1840,0.9707034179687499,False,2021-05-21,False,0.25
21,AAP210521P00165000,165.0,0.0,0.5,1.0,38,0.8623060644531251,False,2021-05-21,False,0.25
22,AAP210521P00170000,170.0,0.0,0.3,11.0,56,0.69336244140625,False,2021-05-21,False,0.15
23,AAP210521P00175000,175.0,0.0,0.45,5.0,187,0.637698935546875,False,2021-05-21,False,0.225
